epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,3806.9,0.4793,0.48388,0.80953,0.9239,0.79173,0.87437,0.73693,0.67124,0.63708,0.85413,0.0001733,0.0001733,0.0001733
68,3862.37,0.47436,0.47315,0.80845,0.92509,0.79796,0.87516,0.73669,0.67147,0.63815,0.85369,0.00016835,0.00016835,0.00016835
69,3954.08,0.49108,0.49556,0.8101,0.92932,0.80095,0.87943,0.73924,0.67151,0.6231,0.85387,0.0001634,0.0001634,0.0001634
70,4113.58,0.47503,0.46752,0.80837,0.93869,0.78807,0.87709,0.73803,0.67153,0.63766,0.85332,0.00015845,0.00015845,0.00015845
71,4182.13,0.48597,0.48555,0.80955,0.94159,0.78982,0.87758,0.73853,0.6698,0.6334,0.85357,0.0001535,0.0001535,0.0001535
72,4226.31,0.48807,0.50192,0.8112,0.93617,0.78602,0.87892,0.73815,0.67363,0.62718,0.85449,0.00014855,0.00014855,0.00014855
73,4254.59,0.4762,0.47554,0.80929,0.92641,0.79865,0.87883,0.73909,0.67076,0.62609,0.85295,0.0001436,0.0001436,0.0001436
74,4379.05,0.48315,0.48653,0.80869,0.9209,0.79943,0.87957,0.7401,0.6673,0.62441,0.85381,0.00013865,0.00013865,0.00013865
75,4425.77,0.48325,0.48376,0.81054,0.93811,0.79224,0.87855,0.73964,0.668,0.63305,0.85253,0.0001337,0.0001337,0.0001337
76,4491.46,0.47949,0.49378,0.80982,0.92055,0.80638,0.87777,0.7403,0.66384,0.63047,0.85254,0.00012875,0.00012875,0.00012875
77,4533.35,0.47506,0.47691,0.80832,0.92593,0.79653,0.87409,0.7371,0.66602,0.63831,0.85288,0.0001238,0.0001238,0.0001238
78,4583.54,0.47408,0.47378,0.80931,0.93667,0.79388,0.87805,0.74069,0.6632,0.63119,0.85297,0.00011885,0.00011885,0.00011885
79,4644.11,0.47681,0.47102,0.80876,0.92758,0.80108,0.87978,0.74317,0.66571,0.62068,0.85255,0.0001139,0.0001139,0.0001139
80,4881.34,0.46956,0.47051,0.80803,0.92917,0.80187,0.88073,0.74216,0.66747,0.61974,0.85364,0.00010895,0.00010895,0.00010895
81,5223.34,0.4789,0.47815,0.80938,0.91988,0.80535,0.88035,0.74263,0.66411,0.61931,0.85318,0.000104,0.000104,0.000104
82,5290.57,0.47326,0.47228,0.80861,0.91094,0.81411,0.88209,0.74377,0.66566,0.61822,0.85301,9.905e-05,9.905e-05,9.905e-05
83,5372.84,0.48134,0.47548,0.80924,0.93595,0.79447,0.87954,0.74103,0.66624,0.62372,0.85274,9.41e-05,9.41e-05,9.41e-05
84,5429.42,0.47054,0.46857,0.80818,0.93175,0.79818,0.87957,0.74317,0.66336,0.62222,0.85255,8.915e-05,8.915e-05,8.915e-05
85,5483.21,0.48532,0.48978,0.81024,0.92751,0.80359,0.88018,0.74194,0.66699,0.62357,0.85291,8.42e-05,8.42e-05,8.42e-05
86,5605.54,0.47381,0.47573,0.80826,0.9328,0.79659,0.87981,0.74156,0.66643,0.62351,0.85271,7.925e-05,7.925e-05,7.925e-05
87,5640.87,0.47746,0.47473,0.80671,0.91732,0.80952,0.87971,0.7429,0.66298,0.62162,0.85251,7.43e-05,7.43e-05,7.43e-05
88,5699.41,0.48894,0.50607,0.81096,0.93056,0.79922,0.88016,0.74155,0.66501,0.62073,0.85224,6.935e-05,6.935e-05,6.935e-05
89,5747.85,0.4735,0.4738,0.80733,0.9288,0.80282,0.87998,0.74266,0.66378,0.62265,0.85243,6.44e-05,6.44e-05,6.44e-05
90,5792.41,0.4662,0.46925,0.80884,0.93096,0.80075,0.88021,0.7429,0.66346,0.62167,0.85245,5.945e-05,5.945e-05,5.945e-05
91,5872.62,0.44826,0.43068,0.80294,0.91342,0.81015,0.87936,0.74121,0.66441,0.62334,0.85199,5.45e-05,5.45e-05,5.45e-05
92,5918.07,0.45225,0.44079,0.80545,0.93122,0.80082,0.87883,0.74054,0.66451,0.62474,0.85252,4.955e-05,4.955e-05,4.955e-05
93,5950.34,0.45376,0.43442,0.80502,0.91774,0.80578,0.8785,0.7413,0.66344,0.62294,0.85216,4.46e-05,4.46e-05,4.46e-05
94,6009.3,0.45866,0.45073,0.8066,0.93773,0.79426,0.87957,0.74238,0.66227,0.62336,0.85163,3.965e-05,3.965e-05,3.965e-05
95,6164.85,0.44818,0.43135,0.80333,0.92759,0.79936,0.87891,0.74199,0.66272,0.62402,0.85161,3.47e-05,3.47e-05,3.47e-05
96,6217.12,0.44429,0.42251,0.80319,0.93135,0.80189,0.88045,0.74254,0.66323,0.62165,0.85155,2.975e-05,2.975e-05,2.975e-05
97,6283.83,0.44076,0.42675,0.80374,0.9292,0.80431,0.88046,0.74372,0.66279,0.62025,0.85195,2.48e-05,2.48e-05,2.48e-05
98,6401.44,0.43997,0.42664,0.80225,0.93056,0.80295,0.88007,0.74247,0.66275,0.62354,0.8521,1.985e-05,1.985e-05,1.985e-05
99,6479.71,0.44765,0.43285,0.80307,0.93131,0.80323,0.88034,0.74392,0.66246,0.6206,0.8517,1.49e-05,1.49e-05,1.49e-05
100,6538.42,0.44432,0.42709,0.80353,0.92668,0.80333,0.87995,0.74201,0.66442,0.62155,0.85195,9.95e-06,9.95e-06,9.95e-06
